time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-02 00:00:00+00:00,10,6,18,2
2026-02-03 00:00:00+00:00,14,10,14,2
2026-02-04 00:00:00+00:00,3,3,5,4
2026-02-05 00:00:00+00:00,11,7,7,4
2026-02-06 00:00:00+00:00,8,4,1,1
2026-02-07 00:00:00+00:00,9,5,2,2
2026-02-08 00:00:00+00:00,15,7,2,1
2026-02-09 00:00:00+00:00,9,5,1,1
2026-02-10 00:00:00+00:00,18,9,2,2
2026-02-11 00:00:00+00:00,14,6,4,3
2026-02-12 00:00:00+00:00,19,10,7,3
2026-02-13 00:00:00+00:00,2,2,3,2
2026-02-14 00:00:00+00:00,16,8,3,3
2026-02-15 00:00:00+00:00,5,5,3,3
