time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-02 00:00:00+00:00,4,4,13.0,3.0
2025-07-03 00:00:00+00:00,8,7,15.0,1.0
2025-07-04 00:00:00+00:00,2,2,6.0,2.0
2025-07-05 00:00:00+00:00,2,2,1.0,1.0
2025-07-06 00:00:00+00:00,5,4,2.0,2.0
2025-07-07 00:00:00+00:00,12,10,19.0,5.0
2025-07-08 00:00:00+00:00,5,5,5.0,3.0
2025-07-09 00:00:00+00:00,4,4,26.0,4.0
2025-07-10 00:00:00+00:00,3,2,4.0,2.0
2025-07-11 00:00:00+00:00,7,6,17.0,2.0
2025-07-12 00:00:00+00:00,6,6,,
2025-07-13 00:00:00+00:00,4,4,,
2025-07-14 00:00:00+00:00,5,5,,
2025-07-15 00:00:00+00:00,2,2,,
