time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-10 00:00:00+00:00,4,4,2.0,2.0
2025-09-11 00:00:00+00:00,6,6,13.0,2.0
2025-09-12 00:00:00+00:00,5,5,,
2025-09-13 00:00:00+00:00,3,3,1.0,1.0
2025-09-14 00:00:00+00:00,5,5,,
2025-09-15 00:00:00+00:00,1,1,4.0,1.0
2025-09-16 00:00:00+00:00,4,2,14.0,5.0
2025-09-17 00:00:00+00:00,6,6,,
2025-09-18 00:00:00+00:00,1,1,,
2025-09-19 00:00:00+00:00,5,3,2.0,2.0
2025-09-20 00:00:00+00:00,8,6,,
2025-09-21 00:00:00+00:00,4,4,3.0,3.0
2025-09-22 00:00:00+00:00,6,5,3.0,3.0
2025-09-23 00:00:00+00:00,3,1,2.0,1.0
