time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-25 00:00:00+00:00,32,12,1,1
2026-06-26 00:00:00+00:00,17,7,1,1
2026-06-27 00:00:00+00:00,10,5,0,0
2026-06-28 00:00:00+00:00,15,6,0,0
2026-06-29 00:00:00+00:00,14,5,0,0
2026-06-30 00:00:00+00:00,3,3,2,1
2026-07-01 00:00:00+00:00,15,6,0,0
2026-07-02 00:00:00+00:00,12,6,1,1
2026-07-03 00:00:00+00:00,20,6,0,0
2026-07-04 00:00:00+00:00,16,7,0,0
2026-07-05 00:00:00+00:00,11,6,1,1
2026-07-06 00:00:00+00:00,7,2,1,1
2026-07-07 00:00:00+00:00,14,4,0,0
2026-07-08 00:00:00+00:00,20,7,0,0
