time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-27 00:00:00+00:00,49,5,32.0,4.0
2023-02-28 00:00:00+00:00,24,7,47.0,3.0
2023-03-01 00:00:00+00:00,3,3,3.0,1.0
2023-03-02 00:00:00+00:00,105,28,42.0,5.0
2023-03-03 00:00:00+00:00,2,2,7.0,3.0
2023-03-04 00:00:00+00:00,2,2,4.0,3.0
2023-03-05 00:00:00+00:00,3,3,21.0,2.0
2023-03-06 00:00:00+00:00,60,10,10.0,4.0
2023-03-07 00:00:00+00:00,21,9,51.0,5.0
2023-03-08 00:00:00+00:00,2,2,1.0,1.0
2023-03-09 00:00:00+00:00,3,3,1.0,1.0
2023-03-10 00:00:00+00:00,4,3,1.0,1.0
2023-03-11 00:00:00+00:00,4,4,2.0,1.0
2023-03-12 00:00:00+00:00,1,1,,
