time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-15 00:00:00+00:00,2.0,2.0,,
2024-11-18 00:00:00+00:00,1.0,1.0,2.0,1.0
2024-11-19 00:00:00+00:00,2.0,2.0,8.0,8.0
2024-11-20 00:00:00+00:00,2.0,1.0,5.0,5.0
2024-11-22 00:00:00+00:00,1.0,1.0,1.0,1.0
2024-11-23 00:00:00+00:00,4.0,3.0,7.0,6.0
2024-11-24 00:00:00+00:00,2.0,2.0,5.0,4.0
2024-11-25 00:00:00+00:00,,,5.0,4.0
2024-11-26 00:00:00+00:00,1.0,1.0,1.0,1.0
